input_sequence,output_sequence,fold_predictions_ft,fold_predictions_zs,fold_predictions_ft_rouge,fold_predictions_zs_rouge,fold
self.myList.extend([0] * (4 - len(self.myList))),fill list `myList` with 4 0's,Multiple each value in list `myList` by the first 4 characters of each list,Add 4 - byte numbers to the end of the list,0.2857142857142857,0.23529411764705882,1
zip(*l),Unzip a list of tuples `l` into a list of lists,unzip list `l`,zips a list of lists,0.42857142857142855,0.5000000000000001,1
[x for x in my_list if not any(c.isdigit() for c in x)],"From a list of strings `my_list`, remove the values that contains numbers.",remove all elements from a list `my_list` if any elements in a list `my,Return a list of all items in my_list.,0.42857142857142855,0.4545454545454546,1
print(os.getcwd()),get the path of the current python module,get current directory,Print current working directory,0.36363636363636365,0.16666666666666666,1
"max(lst, key=lambda x: x['score'])",Get an item from a list of dictionary `lst` which has maximum value in the key `score` using lambda function,find maximal value in list `lst` with key'score',Returns the highest score in a list of dicts.,0.41379310344827586,0.41379310344827586,1
"print(('{0:.2f}'.format(round(a, 2))))",print float `a` with two decimal points,round off the decimal places in string `roundoff`,Print round.,0.13333333333333333,0.22222222222222224,1
df['a'].str.contains('-'),check if character '-' exists in a dataframe `df` cell 'a',check if column 'a' in dataframe `df` contains '-',df - > df - > df - > df,0.6666666666666665,0.14285714285714288,1
driver.find_element_by_css_selector('.button .c_button .s_button').click(),python selenium click on button,Selenium `driver` click a hyperlink with the pattern '^(?!(?:[a-zA-,Finds an element by css selector,0.26666666666666666,0.0,1
print(os.path.exists('/etc')),"check whether a path ""/etc"" exists",check if a directory `/etc` exists and create it if necessary,Print if the system path exists,0.4705882352941177,0.3333333333333333,1
np.isnan(a).sum() / np.prod(a.shape),calculate ratio of sparsity in a numpy array `a`,get the average of all non-nan elements in a numpy array `a`,Returns the sum of nan values in a.,0.5454545454545455,0.35294117647058826,1
"[index for index, item in enumerate(thelist) if item[0] == '332']",find the index of a list with the first element equal to '332' within the list of lists `thelist`,get the position of item 1 in `thelist`,Returns an array of the index of the first item in the list.,0.22222222222222218,0.5,1
list2 = [x for x in list1 if x != []],Get a new list `list2`by removing empty list from a list of lists `list1`,remove all instances of `list1` from list `list2` if the element is not,set list2 to list1,0.3571428571428571,0.2105263157894737,1
'test string\n'.rstrip(),"remove trailing newline in string ""test string\n""",trim whitespace (including tabs) in `test string`,Returns a string with the contents of the string.,0.39999999999999997,0.23529411764705882,1
dir(),Get all object attributes of an object,get the directory of the module `my_file`,Returns a string describing the current state of the application.,0.26666666666666666,0.11764705882352941,1
print(('{0:.2f}'.format(a))),print float `a` with two decimal points,print a list of floating numbers `a` with string formatting,Print a number to the console,0.3529411764705882,0.30769230769230765,1
db.session.delete(page),flask-sqlalchemy delete row `page`,clear session key `page` in django,Delete the page from the database.,0.1818181818181818,0.3636363636363636,1
str(datetime.now()),get current time in string format,convert datetime object to string,Returns a string representation of the current time.,0.1818181818181818,0.42857142857142855,1
time.sleep(1),Make a delay of 1 second,wait for shell command `1` evoked by  subprocess.Popen to complete,Sleeps for 1 second.,0.11764705882352942,0.4,1
os.path.dirname(path),get the directory name of `path`,get the directory of a python script `path`,Returns the directory of the path.,0.7142857142857143,0.6666666666666666,1
"df.set_index(list('BC')).drop(tuples, errors='ignore').reset_index()",pandas: delete rows in dataframe `df` based on multiple columns values,drop duplicate indexes in dataframe `df`,Drop all Bc columns,0.3529411764705882,0.13333333333333333,1
sys.path.append('/path/to/whatever'),set pythonpath in python script.,add a path `/path/to/whatever.txt`,Add the path to the system path.,0.0,0.0,1
"c = np.r_[(a[None, :], b[None, :])]",numpy concatenate two arrays `a` and `b` along the first axis,convert a numpy array `a` to a numpy array,Return a matrix of the same shape as a.,0.19999999999999998,0.19999999999999998,1
"[value for key, value in list(programs.items()) if 'new york' in key.lower()]",create a list of values from the dictionary `programs` that have a key with a case insensitive match to 'new york',get a list of all the values in a dictionary `programs`,Returns a list of all program values.,0.5,0.2857142857142857,1
subprocess.call(['./test.sh']),call a shell script `./test.sh` using subprocess,call a subprocess with arguments `./test.sh` in a virtualenv `test.sh,Run the test script in a subprocess.,0.5,0.5333333333333333,1
"zip(it, it, it)",pair each element in list `it` 3 times into a tuple,unzip list `it`,zip - Zip the iterator into a new iterator.,0.28571428571428575,0.2105263157894737,1
x[:(-2)],get a new string including all but the last character of string `x`,get the last two consecutive values in numpy array `x`,x - > y,0.34782608695652173,0.13333333333333336,1
"dict((v, k) for k, v in my_dict.items())",switch keys and values in a dictionary `my_dict`,get a dictionary of pairs of key-value pairs with keys from a dictionary `my_dict,A dict of all the keys and values.,0.39999999999999997,0.5882352941176471,1
list(itertools.product(*arrays)),apply itertools.product to elements of a list of lists `arrays`,get all combination of items in a list `arrays`,Return a list of the product of the arrays.,0.39999999999999997,0.6,1
"""""""obama"""""".replace('a', '%temp%').replace('b', 'a').replace('%temp%', 'b')",replace each 'a' with 'b' and each 'b' with 'a' in the string 'obama' in a single pass.,replace a character 'a' in string `obama` with '%temp%',Return the obama string.,0.5185185185185185,0.27272727272727276,1
raw_byte_string.decode('unicode_escape'),convert a raw string `raw_byte_string` into a normal string,convert a byte string `raw_byte_string` to a unicode string,Decode the raw byte string.,0.7272727272727273,0.37499999999999994,1
subprocess.call(['notepad']),call a shell script `notepad` using subprocess,call a subprocess with arguments 'notepad',notepad is a command that runs in a subprocess,0.6153846153846153,0.375,1
xs.sort(key=lambda s: len(s)),sort list of strings `xs` by the length of string,sort list `xs` by length of elements in list `s`,Sort the list of strings by length.,0.6,0.8235294117647058,1
writer.writerows(A),Write all tuple of tuples `A` at once into csv file,get the position of a row in `A` in pandas,Write to the current position of A.,0.1904761904761905,0.33333333333333326,1
"[sum(map(int, s)) for s in example.split()]",get list of sums of neighboring integers in string `example`,sum of all elements in a list `example_list`,Returns the sum of all the numbers in the example.,0.4210526315789474,0.3,1
driver.find_element_by_css_selector('.button.c_button.s_button').click(),python selenium click on button '.button.c_button.s_button',Selenium `driver` click a hyperlink with the pattern '^(?!(?:[a-zA-,Finds an element by css selector,0.20000000000000004,0.0,1
"socket.inet_ntoa(struct.pack('!L', 2130706433))",convert a number 2130706433 to ip string,convert a binary `socket.inet_ntoa` to a string,Returns a string with the IPv6 address.,0.5,0.2857142857142857,1
"url = re.sub('\\.com$', '', url)","remove a substring "".com"" from the end of string `url`",remove all dot and comma from a string `url`,Remove the domain part from the url,0.5263157894736842,0.47058823529411764,1
""""""""""""".join(map(lambda x: x * 7, 'map'))",repeat every character for 7 times in string 'map',convert a list of characters `list_of_ints` to a single integer,Returns a string with all characters converted to their decimal representation.,0.0,0.09999999999999999,1
Entry.objects.filter(~Q(id=3)),Filter model 'Entry' where 'id' is not equal to 3 in Django,Filter Django objects by ids `3` and `4`,Return all entries with id = 3.,0.3,0.2222222222222222,1
len(s.split()),count the number of words in a string `s`,Getting the length of a string `s`,Returns the length of the string.,0.6250000000000001,0.4,1
"'{' + ','.join('{0!r}:{1!r}'.format(*x) for x in list(dct.items())) + '}'",convert dictionary `dict` into a string formatted object,convert a list of characters `[0!r:1]` to a string,Returns a string with the given identifier.,0.3157894736842105,0.26666666666666666,1
('a' in d),Check if key 'a' in `d`,check if string 'a' exists in dictionary `d`,d. a = > a,0.7142857142857143,0.4444444444444444,1
"dic.setdefault(key, []).append(value)",Create a key `key` if it does not exist in dict `dic` and append element `value` to value.,append an array `value` to dictionary `dic`,Add a value to the dictionary.,0.32,0.25,1
"df1 = pd.read_hdf('/home/.../data.h5', 'firstSet')",create dataframe `df` with content of hdf store file '/home/.../data.h5' with key of 'firstSet',read file '/home/.../home/some_file.txt' into array,Read the first row of the HDF file.,0.16,0.25,1
"sorted(x, key=x.get, reverse=True)",reverse sort Counter `x` by values,Sort dictionary `x` in descending order based on its values,Sort an array by key,0.37499999999999994,0.3636363636363636,1
pd.get_dummies(s.apply(pd.Series).stack()).sum(level=0),convert a column of list in series `s` to dummies,Get a list of all the values from a pandas data frame `s` using pandas,Get the dumps of the data.,0.32,0.125,1
"plt.xticks([1, 2, 3, 4, 5])","set labels `[1, 2, 3, 4, 5]` on axis X in plot `plt`",get a list of all x-axis points in matplotlib,Make the x - axis tick labels more readable.,0.2608695652173913,0.2857142857142857,1
"sorted(list_of_tuples, key=lambda tup: tup[::-1])",sorting a list of tuples `list_of_tuples` where each tuple is reversed,sort a list of tuples `list_of_tuples` by values in ascending order,Returns a sorted list of tuples.,0.5384615384615384,0.42105263157894735,1
[int(x) for x in list('{0:0b}'.format(8))],convert decimal integer 8 to a list of its binary values as elements,convert a string `s` containing a list of numbers `0` to a list of integers,Returns a list of integers.,0.3571428571428571,0.33333333333333337,1
"sum(isinstance(x, int) for x in a)",count the number of integers in list `a`,sum of the elements of a list `a` that is a list of integers,Returns the sum of all integers in an array.,0.45454545454545453,0.47058823529411764,1
"t = sorted(list(a.items()), key=lambda x: x[1])",sort a dictionary `a` by values that are list type,Sort dictionary `a` in ascending order based on its values,sorts the keys in a,0.4000000000000001,0.13333333333333333,1
"re.findall('([a-fA-F\\d]{32})', data)",find all matches of regex pattern '([a-fA-F\\d]{32})' in string `data`,extract floating point numbers from a string `my_string`,Find all non - numeric characters in a string.,0.17391304347826086,0.45454545454545453,1
"""""""0,1,2"""""".split(',')","split string ""0,1,2"" based on delimiter ','","split string `0,1,2` by "",""",Returns a comma - separated list of integers.,0.7142857142857143,0.0,1
"replace('""', '\\""')",escaping quotes in string,replace backslashes in string `myString` with empty string '',Escape quotes and double quotes.,0.3333333333333333,0.22222222222222224,1
df.loc[df[0].str.contains('(Hel|Just)')],get rows of dataframe `df` that match regex '(Hel|Just)',select rows of dataframe `df` whose value for column `first` is,Return DataFrame with columns that contain string.,0.380952380952381,0.23529411764705882,1
"zip(*sorted(enumerate(a), key=operator.itemgetter(1)))[0][-2:]",get indexes of the largest `2` values from a list `a` using itemgetter,Sort list `a` in ascending order based on its elements,zips an array into a sorted list of values,0.17391304347826086,0.3636363636363637,1
del a[(-1)],remove the last element in list `a`,remove the last element of array `a`,Remove the last item from the list.,0.7142857142857143,0.5714285714285714,1
""""""""""""".join([x for x in 'aas30dsa20' if x.isdigit()])",get digits only from a string `aas30dsa20` using lambda function,convert a list of characters `aa30` to a string of characters,Aa30 - > Aa30,0.1904761904761905,0.0,1
data.groupby(data['date'].map(lambda x: x.year)),group dataframe `data` entries by year value of the date in column 'date',convert a date string `date` to a grouped data frame using pandas,Group by date,0.24000000000000002,0.375,1
a[-1:] + a[:-1],move last item of array `a` to the first position,get the mean of each two consecutive values in numpy array `a`,Remove the last character from the end of the string,0.3636363636363636,0.3,1
dir(),Get all object attributes of an object,get the directory of the module `my_file`,Returns a string describing the current state of the application.,0.26666666666666666,0.11764705882352941,1
app.run(debug=True),run flask application `app` in debug mode.,enable debug mode on Flask application `app`,Run the application.,0.7142857142857143,0.4,1
writer.writerow(A),write a tuple of tuples `A` to a csv file using python,get the position of a row `A` in a row `A`,Write to the current position of A.,0.34782608695652173,0.4210526315789474,1
"print(sorted(xs, key=len))",sort list `xs` based on the length of its elements,sort list `xs` by length of value,Print a sorted list of elements.,0.588235294117647,0.37499999999999994,1
os.removedirs(name),recursively remove folder `name`,remove directory tree '/path/to/directory/folder/folder/folder,Remove all directories in the given directory,0.30769230769230765,0.18181818181818182,1
[d['key'] for d in l],get a list of values for key 'key' from a list of dictionaries `l`,convert a list of dictionaries `l` into a flat dictionary by concatenating nested dictionary values,Get the keys of all the data in the list.,0.4827586206896552,0.25,1
"strftime('%Y-%m-%d %H:%M:%S', gmtime())",get current time in pretty format,print current date and time in a regular format,Returns a string with the current time.,0.5333333333333333,0.30769230769230765,1
driver.page_source,Selenium get the entire `driver` page text,get the source of a selenium page `driver`,Returns the source of the page.,0.6666666666666666,0.30769230769230765,1
print([item for item in dir(adfix) if not item.startswith('__')]),get a list of variables from module 'adfix.py' in current module.,get a list of all subdirectories in a directory `adfix`,Print all adfix files.,0.5454545454545454,0.125,1
os.path.basename(os.path.normpath('/folderA/folderB/folderC/folderD/')),How to get only the last part of a path in Python?,get the filename without extension from the directory `__file__`,Returns the basename of the path.,0.1904761904761905,0.3333333333333333,1
"dict((k, float(d2[k]) / d1[k]) for k in d2)",divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`,get the mean of two keys in dictionary `d2`,dict - > dict,0.2857142857142857,0.0,1
"[x for x in a if x not in [2, 3, 7]]","remove all values within one list `[2, 3, 7]` from another list `a`","remove all instances of `[2, 3]` from a list `a`",Returns a list of all the values in a.,0.608695652173913,0.3636363636363637,1
today = datetime.datetime.utcnow().date(),return a DateTime object with the current UTC date,convert datetime object to date object,Returns the current date,0.4,0.46153846153846156,1
"re.findall('#(\\w+)', 'http://example.org/#comments')",pars a string 'http://example.org/#comments' to extract hashtags into an array,extract arabic texts from a string using regex,Find all links that are not a URL,0.2857142857142857,0.09523809523809525,1
"df[df.Col1.isin(['men', 'rocks', 'mountains'])]","get rows of dataframe `df` where column `Col1` has values `['men', 'rocks', 'mountains']`",select rows of dataframe `df` whose value for column `Col1` is `men`,Menue s in df.,0.5599999999999999,0.11764705882352941,1
"""""""jvm.args= -Dappdynamics.com=true, -Dsomeotherparam=false,"""""".split('=', 1)","split string ""jvm.args= -Dappdynamics.com=true, -Dsomeotherparam=false,"" on the first occurrence of delimiter '='",set default value of a python script `jvm` equal to 'Dappdynamics.,The DAppDappDappDappDappDappDappDappDapp,0.23076923076923075,0.11764705882352941,1
"df1.groupby(['key', 'year']).size().reset_index()",remove duplicate rows from dataframe `df1` and calculate their frequency,group dataframe `df1` by column 'key' and year,Group by key and year,0.33333333333333326,0.13333333333333333,1
"d = dict(((key, value) for (key, value) in iterable))",Create a dictionary `d` from list `iterable`,create a dictionary from list of tuples `d` with keys as keys and values of type `,Create a new dictionary with all the keys and values.,0.5217391304347825,0.3529411764705882,1
"print([item for item in [1, 2, 3]])","Iterate ove list `[1, 2, 3]` using list comprehension","convert a list of tuples `[1, 2, 3]` to a list of strings",Print out the items in the list.,0.4545454545454546,0.125,1
input('Press Enter to continue...'),prompt string 'Press Enter to continue...' to the console,control the user with input 'Press Enter to continue...',Press Enter to continue...,0.5555555555555556,0.6153846153846153,1
"map(int, ['1', '2', '3'])","convert a list with string `['1', '2', '3']` into list with integers","convert a list of strings `['1', '2', '3']` to a list",Map 2 - > 3 numbers to integers.,0.6086956521739131,0.3333333333333333,1
numpy.array(a).reshape(-1).tolist(),Convert array `a` into a list,get a list of all possible values in a numpy array `a`,numpy. array.,0.4444444444444444,0.25,1
"plt.colorbar(mappable=mappable, cax=ax3)",add color bar with image `mappable` to plot `plt`,How to plot with mappable = true in matplotlib?,Make a colorbar,0.47058823529411764,0.0,1
"eval(""print('Hello')"")","run the code contained in string ""print('Hello')""",eval a string `Hello` with string formatting,Print hello message,0.26666666666666666,0.36363636363636365,1
"numpy.delete(a, index)",remove specific elements in a numpy array `a`,delete the index of array `a` and assign resulting array to `index`,Delete element from array,0.2,0.16666666666666666,1
"pandas.read_csv(filename, sep='\t', lineterminator='\r')",reading tab-delimited csv file `filename` with pandas on mac,read csv file `filename` into pandas data frame,Read a CSV file into a pandas DataFrame.,0.4444444444444445,0.33333333333333326,1
"[list(a) for a in zip([1, 2, 3], [4, 5, 6], [7, 8, 9])]","Get the zip output as list from the lists `[1, 2, 3]`, `[4, 5, 6]`, `[7, 8, 9]`","create a list of tuples from two lists `[1, 2]` and `[3",Returns a list of lists of integers.,0.4,0.16,1
"text = re.sub('(\\bget\\b)', '\\1@', text)",add character '@' after word 'get' in string `text`,remove duplicate words from string `text` using regex,Remove all get and get tokens from the text.,0.25,0.23529411764705882,1
"d = {key: value for (key, value) in iterable}",Create a dictionary `d` from list `iterable`,create dictionary `d` with keys as keys and values of each tuple in list `d`,Returns a map of keys to values.,0.36363636363636365,0.14285714285714285,1
c2.sort(key=lambda row: row[2]),sort a list of lists 'c2' such that third row comes first,sort a list of rows `c2` by row with row at the same index of each,sort c2 by 2 - column,0.42857142857142855,0.23529411764705882,1
myString.decode('string_escape'),decode escape sequences in string `myString`,convert a string `myString` with proper proper bom representations,Decode myString to string,0.26666666666666666,0.6,1
"matplotlib.rc('font', **{'sans-serif': 'Arial', 'family': 'sans-serif'})",set font `Arial` to display non-ascii characters in matplotlib,change the size of the matplotlib plot `matplotlib` to `100` using the format of,Set font options,0.16666666666666666,0.30769230769230765,1
"""""""\\u003Cp\\u003E"""""".decode('unicode-escape')",un-escaping characters in a string with python,convert a string `u003Cp` to a unicode string,Decodes a UTF - 8 string.,0.25,0.3076923076923077,1
"requests.get('https://kennethreitz.com', verify=False)",disable the certificate check in https requests for url `https://kennethreitz.com`,request URI 'https://kennethreitz.com/' with credentials of username ',Get a list of all the kennethreitz s items.,0.28571428571428575,0.1904761904761905,1
"sorted([[1, 'mike'], [1, 'bob']])","order a list of lists `[[1, 'mike'], [1, 'bob']]` by the first value of individual list","sort a list of strings `[1,'mike'], [1, '",Sort by mike name.,0.5,0.2,1
os.chdir('.\\chapter3'),change current working directory,change the mode of file '.\\chapter3' to directory `.`,Change the directory to chapter 3,0.3333333333333333,0.4,1
"my_new_list = zip(my_list[0::2], my_list[1::2])",group a list of ints into a list of tuples of each 2 elements,create a list `my_new_list` containing the first element of each list in list,This function is called when the list is empty.,0.3448275862068965,0.08695652173913043,1
"re.split('\\.\\s', re.sub('\\.\\s*$', '', text))",Regular expression in Python sentence extractor,remove all whitespaces in string `s` from string `s`,Split on spaces and spaces and remove leading and trailing spaces.,0.13333333333333333,0.0,1
"re.sub('[^0-9a-zA-Z]+', '*', 'h^&ell`.,|o w]{+orld')",Replace all non-alphanumeric characters in a string,remove all non-alphabet chars from string `text` using regex,Remove all non - alphanumeric characters from a string.,0.33333333333333326,0.75,1
all(a_list),apply logical operator 'AND' to all elements in list `a_list`,check if all elements in a list `a_list` are true,Returns true if all of the elements in a_list are true.,0.5454545454545454,0.43478260869565216,1
list_dict = {t[0]: t for t in tuple_list},create a dictionary `list_dict` containing each tuple in list `tuple_list` as values and the tuple's first element as the corresponding key,get a dictionary of tuples `list_dict` with the first element of each tuple in list,List of lists,0.5499999999999999,0.07407407407407407,1
"the_list.sort(key=lambda item: (-len(item), item))",sort list `the_list` by the length of string followed by alphabetical order,sort a list of strings `the_list` by length of the second element,Sort the list by length,0.6153846153846154,0.5555555555555556,1
"float(re.findall('(?:^|_)' + par + '(\\d+\\.\\d*)', dir)[0])",find float number proceeding sub-string `par` in string `dir`,parse a string `s` containing a regular expression to a float number,Returns the number of digits in the string.,0.2727272727272727,0.33333333333333326,1
time.sleep(0.1),make a 0.1 seconds time delay,wait for the first month in 2100,Sleep for 1 second.,0.0,0.18181818181818182,1
sum(len(v) for v in food_colors.values()),count all elements in a nested dictionary `food_colors`,sum the length of all values in a list `food_colors`,Sum of the number of food colors.,0.5,0.25,1
"r = requests.head(url)
return (r.status_code == 200)",Check the status code of url `url`,request http url `url`,Get the last result from the server,0.36363636363636365,0.14285714285714285,1
"re.sub('\\((\\w+)\\)', '\\1', s)",remove parentheses only around single words in a string `s` using regex,replace repeated instances of a character '*' with a single instance in a string 'your_string,Replace all non - word characters with a single character.,0.2962962962962963,0.1904761904761905,1
"re.split('[ ](?=[A-Z]+\\b)', input)",split string `input` based on occurrences of regex pattern '[ ](?=[A-Z]+\\b)',separate each character in string `text` by `A` and `Z`,Split a string into a list of strings.,0.2727272727272727,0.4,1
session.query(Task).filter(Task.time_spent > timedelta(hours=3)).all(),query all data from table `Task` where the value of column `time_spent` is bigger than 3 hours,SQLAlchemy check if a database `Task` has been saved as `time_spent`,Get all tasks that have been spent.,0.2,0.16,1
"np.argwhere(np.all(arr == [[0, 3], [3, 0]], axis=(1, 2)))","find rows of 2d array in 3d numpy array 'arr' if the row has value '[[0, 3], [3, 0]]'",find all the indices in a numpy array `arr` where the value of the first element is,Returns the first element of the array that is not null.,0.4444444444444444,0.19999999999999998,1
"sorted(yourdata, reverse=True)",reverse list `yourdata`,sort a list of dictionary `yourdata` by value in descending order,Sort the data in alphabetical order.,0.28571428571428575,0.0,1
df['state'].apply(lambda x: x[len(x) / 2 - 1:len(x) / 2 + 1]),get the middle two characters of a string 'state' in a pandas dataframe `df`,apply function `log2` to the column'state' of dataframe `df`,State of the DF.,0.41666666666666663,0.4444444444444445,1
list('{0:0b}'.format(8)),convert decimal 8 to a list of its binary values,convert a binary `8` to a list of characters,List of 8 bit numbers.,0.7368421052631577,0.4,1
ax.set_xlabel('Temperature ($^\\circ$C)'),Print a celsius symbol with matplotlib,set x-axis of plot `ax` to be the inverse of the x-axis,Set the x - axis label of the temperature.,0.0,0.0,1
"print(concatenate((a, b), axis=1))",numpy concatenate two arrays `a` and `b` along the second axis,Concatenate two 2-dimensional numpy arrays `a` and `b`,Concatenate two arrays and print them in a single line.,0.7000000000000001,0.47619047619047616,1
logging.getLogger().setLevel(logging.DEBUG),Change log level dynamically to 'DEBUG' without restarting the application,Set the logging level of the logger to debug mode,Set the logger level to debug.,0.4000000000000001,0.5,1
x.set_index('name').index.get_duplicates(),find duplicate names in column 'name' of the dataframe `x`,get the index of a key `name` in a dictionary `x`,Get the duplicates from the index.,0.47619047619047616,0.125,1
print(random.choice(words)),return a random word from a word list 'words',generate random 12-digit random number,Print random word,0.13333333333333333,0.3333333333333333,1
print('%.3f' % 3.1415),printing numbers rounding up to third decimal place,print a list of floating numbers `3.1415` using string formatting,Print 3. 1415%,0.10526315789473685,0.0,1
sum(sum(x) for x in lists),"Sum of sums of each list, in a list of lists named 'lists'.",sum elements in a list of lists `lists`,Sums all elements in a list.,0.6666666666666667,0.42105263157894735,1
{(x ** 2) for x in range(100)},create dict of squared int values in range of 100,"Multiple each value by `2` in a list `[1, 2, 3, 4",Generate a random number of 100,0.0909090909090909,0.25,1
"'Hello %s' % ', '.join(my_args)",how to format a list of arguments `my_args` into a string,join each value in list `my_args` into a string using string formatting,Hello Hello.,0.48000000000000004,0.0,1
"subprocess.call('sleep.sh', shell=True)",running bash script 'sleep.sh',call a command `sleep.sh` in shell mode,Sleeps the current process.,0.3076923076923077,0.0,1
"numpy.array([[1, 2], [3, 4]])",List of lists into numpy array,"convert a list of tuples `[1, 2], [3, 4], [5,",A 2D array of 3D arrays.,0.25,0.3333333333333333,1
"xs.sort(lambda x, y: cmp(len(x), len(y)))",sort list `xs` in ascending order of length of elements,sort list `xs` based on the length of object,Sorts the elements in the list.,0.5263157894736842,0.37499999999999994,1
time.strftime('{%Y-%m-%d %H:%M:%S}'),format current date to pattern '{%Y-%m-%d %H:%M:%S}',print current date and time in a regular format,Returns the current time as a string.,0.3,0.1111111111111111,1
dir_path = os.path.dirname(os.path.realpath(__file__)),Find name of current directory,get directory `dir_path` of the script,Returns the directory path of the current process.,0.3333333333333333,0.4615384615384615,1
"sorted(['10', '3', '2'], key=int)","sort list `['10', '3', '2']` in ascending order based on the integer value of its elements","sort a list of strings `['10', '3', 2'],",Returns a sorted list of numbers.,0.5,0.18181818181818182,1
"df.reset_index(level=0, inplace=True)",convert index at level 0 into a column in dataframe `df`,reset index of dataframe `df` to default in dataframe `df`,Reset the index of the DataFrame.,0.380952380952381,0.23529411764705885,1
"print(socket.getaddrinfo('google.com', 80))",fetch address information for host 'google.com' ion port 80,get value of the environment variable 'google.com' with port `80`,Print the address of the current socket.,0.380952380952381,0.11764705882352941,1
"map(int, re.findall('\\d+', s))",extract digits in a simple way from a python string,extract floating number from string `s`,Returns an array of all integer values in the string.,0.37499999999999994,0.20000000000000004,1
a = [(sum(x) / len(x)) for x in zip(*a)],Find average of a nested list `a`,get the average of all elements in list `a`,Calculate the average of the values of a list.,0.5,0.5,1
"return (x.group(0) for x in re.finditer(""[A-Za-z']+"", string))",split string `string` on whitespaces using a generator,get a list of all occurrences of a regex pattern `pattern`,Return a list of all the groups in the re.,0.10526315789473685,0.11111111111111112,1
(datetime.datetime.now() - datetime.timedelta(days=7)).date(),get the date 7 days before the current date,convert datetime object `days` to seconds,Returns the current date in the past,0.13333333333333333,0.5,1
myList = [i.split('\t')[0] for i in myList],Split each string in list `myList` on the tab character,remove first and last lines of a string `myList`,This is a hack to get the list of all the items in the list,0.2105263157894737,0.24,1
os.path.realpath(path),get the canonical path of file `path`,get canonical path of the filename `path`,Returns the real path of the given path.,0.8571428571428571,0.5333333333333333,1
('key1' in dict),Check if key 'key1' in `dict`,check if key `key1` exists in dictionary `dict`,Returns true if key1 is present in dict,0.8571428571428571,0.5714285714285715,1
"""""""The big brown fox is brown"""""".count('brown')",count number of times string 'brown' occurred in string 'The big brown fox is brown',count the occurrences of word 'brown' in string `The big brown fox,Count how many brown foxs are brown,0.6666666666666665,0.27272727272727276,1
"df.reset_index(level=['tick', 'obs'])",convert pandas index in a dataframe to columns,reset index of dataframe `df` to default value of column 'tick',Reset the index of the dataframe to the default values.,0.3157894736842105,0.33333333333333326,1
"json.dumps(your_data, ensure_ascii=False)",convert python dictionary `your_data` to json array,encode json string `your_data` to ascii,Return a JSON string with the data in your_data.,0.5333333333333333,0.33333333333333326,1
"numpy.random.random((3, 3))",create 3 by 3 matrix of random numbers,generate 3 random numbers between 3 and 3,Randomly distributed random numbers between 0 and 3.,0.5,0.375,1
[x[1] for x in L],get the value at index 1 for each tuple in the list of tuples `L`,get a list of the second element in each list in list `L`,Returns a list of the values of the L - array.,0.5,0.4,1
ax.set_rlabel_position(135),place the radial ticks in plot `ax` at 135 degrees,How to plot with a point at the root of the figure?,Set the position of the label to 135.,0.2727272727272727,0.22222222222222224,1
"df['group'].plot(kind='bar', color=['r', 'g', 'b', 'r', 'g', 'b', 'r'])",make a barplot of data in column `group` of dataframe `df` colour-coded according to list `color`,plot data of column 'group' of dataframe `df` with kind `bar`,Plot group data as bar plot,0.5,0.1739130434782609,1
[x for x in sents if not x.startswith('@$\t') and not x.startswith('#')],Remove all strings from a list a strings `sents` where the values starts with `@$\t` or `#`,remove all whitespaces in a list `sents`,Returns all the sents without any prefix.,0.43478260869565216,0.26086956521739124,1
os.chdir(path),set the current working directory to path `path`,change the mode of file `path` to `upc`,Change the current working directory.,0.375,0.6153846153846154,1
"sum(x * y for x, y in zip(a, b))",get the sum of the products of each pair of corresponding elements in lists `a` and `b`,get the sum of the squares of each value in list `a`,Sums the elements of a vector.,0.6206896551724139,0.3478260869565218,1
"datetime.strptime('Tue, 22 Nov 2011 06:00:00 GMT', '%a, %d %b %Y %H:%M:%S %Z')","convert js date object 'Tue, 22 Nov 2011 06:00:00 GMT' to python datetime","parse string 'Tue, 22 Nov 2011 06' to datetime object using format pattern '%",Returns a datetime object with the last day and time.,0.5714285714285715,0.16,1
"Counter([1, 2, 2, 2, 3]) - Counter([1, 2])","Get the difference between two lists `[1, 2, 2, 2, 3]` and `[1, 2]` that may have duplicate values","count the number of occurrences of items in a list `[1, 2, 3]`",Counter is a counter of 3 values.,0.25,0.15384615384615385,1
decimal.Decimal(random.randrange(10000)) / 100,generate random Decimal,generate a random 12-digit number,Returns a random decimal.,0.4444444444444444,0.5714285714285715,1
"fd = os.open('x', os.O_WRONLY | os.O_CREAT | os.O_EXCL)",create file 'x' if file 'x' does not exist,open a file 'x' in write mode,Open the file descriptor for writing.,0.25,0.13333333333333333,1
"sum(i * j for i, j in zip(a, b))",sum the product of each two items at the same index of list `a` and list `b`,get the sum of the squares of each value in list `a`,Sums the elements of a.,0.5517241379310345,0.2727272727272727,1
"[list(g) for _, g in itertools.groupby(test, lambda x: x.partition('_')[0])]",How to group similar items in a list?,get a list of all the lists in a group of tuples,Returns a list of lists of all groups.,0.4,0.25,1
a.split('\n')[:-1],split a string `a` with new line character,get the last line of a file `a`,Returns the last line of a string.,0.375,0.39999999999999997,1
