input_sequence,output_sequence,fold_predictions_ft,fold_predictions_zs,fold_predictions_ft_rouge,fold_predictions_zs_rouge,fold
"list(range(11, 17))",create a list of integers between 2 values `11` and `17`,create a list containing the conversion of the range of 11 to 17,List of numbers of 11 - 17,0.4999999999999999,0.4705882352941177,1
math.cos(math.radians(1)),convert radians 1 to degrees,normalize the radial ticks in python,Returns the cosine of the angle.,0.0,0.0,1
df.loc[(df.index < start_remove) | (df.index > end_remove)],Drop the rows in pandas timeseries `df` from the row containing index `start_remove` to the row containing index `end_remove`,select rows from a dataframe `df` whose index value in column `start_remove` is,Remove the first start_remove rows from the dataframe.,0.4,0.4666666666666666,1
"subprocess.call(['shutdown', '/r', '/t', '900'])",restart a computer after `900` seconds using subprocess,call a function `shutdown` in python script `/r` with variable,shutdown the daemon,0.11111111111111112,0.0,1
"my_dict.update((x, y * 2) for x, y in list(my_dict.items()))",Multiple each value by `2` for all keys in a dictionary `my_dict`,convert dictionary `my_dict` into a dictionary,Update the x and y values in the dictionary.,0.4,0.18181818181818185,1
"requests.get('https://www.mysite.com/', auth=('username', 'pwd'))",request page 'https://www.mysite.com/' with credentials of username 'username' and password 'pwd',request url 'https://www.mysite.com/' without verifying SSL certificates,Get a page from mysite,0.41666666666666663,0.21052631578947364,1
"sorted(s, key=str.lower)","get a sorted list of the characters of string `s` in lexicographic order, with lowercase letters first",Sort list `s` by value in descending order,Sort the strings in alphabetical order.,0.31999999999999995,0.2608695652173913,1
[word for word in mystring.split() if word.startswith('$')],find all words in a string `mystring` that start with the `$` sign,Convert a string `mystring` into a list of words from a string `mystring`,Returns a list of all words in the string.,0.32,0.5714285714285715,1
"sorted(iter(mydict.items()), key=itemgetter(1), reverse=True)",reverse sort items in dictionary `mydict` by value,sort dictionary `mydict` in descending order based on the sum of each value in it,Returns a sorted list of the keys in the dictionary.,0.43478260869565216,0.22222222222222224,1
"res = dict((k, v) for k, v in kwargs.items() if v is not None)",get rid of None values in dictionary `kwargs`,Create a dictionary `res` from list of key value pairs `iterable`,Returns a new dictionary with all keys and values.,0.2105263157894737,0.23529411764705882,1
time.sleep(1),Make a delay of 1 second,make a 1 seconds time delay,Sleeps for 1 second.,0.6666666666666666,0.4,1
"re.findall('(?=(a.*?a))', 'a 1 a 2 a 3 a 4 a')",Get all matching patterns 'a.*?a' from a string 'a 1 a 2 a 3 a 4 a'.,match regex pattern '(?=(a.*?a)(?:-)?(?:,Find all strings that are not a substring of a,0.1739130434782609,0.21428571428571427,1
"int('0xff', 16)","convert hex string ""0xff"" to decimal","Convert hex string ""0xff"" to integer",16 - bit integer,0.8333333333333334,0.0,1
"tex.delete('1.0', END)",clear the textbox `text` in tkinter,Delete an item with index `1.0` in pandas data frame,Delete the 1. 0 texture,0.11764705882352942,0.1818181818181818,1
"sorted(list(data.items()), key=lambda x: x[1])",sort dict by value python,How to sort a dictionary in python by value when the value is a list and I,Returns a sorted list of the data.,0.3636363636363636,0.0,1
l.sort(key=lambda x: x['title']),sort a list `l` of dicts by dict value 'title',sort a list of dictionaries `l` by values associated with key 'title' in reverse order,sorts the list by title,0.56,0.4,1
print('0x%X' % value),use upper case letters to print hex value `value`,print the string `value` with exactly 0x%X',Print the value of the integer.,0.23529411764705882,0.26666666666666666,1
"df.set_index(['Company', 'date'], inplace=True)",Set multi index on columns 'Company' and 'date' of data frame `df` in pandas.,"set columns `['Company', 'date']` in dataframe `df`",Update the data frame to include the company and date.,0.5714285714285714,0.41666666666666663,1
"re.match('[a-zA-Z][\\w-]*$', '!A_B')",match regex '[a-zA-Z][\\w-]*$' on string '!A_B',match regex pattern '[a-zA-,A string is a word or a word - only word.,0.5333333333333333,0.3,1
"response.headers['WWW-Authenticate'] = 'Basic realm=""test""'","add header 'WWWAuthenticate' in a flask app with value 'Basic realm=""test""'",Add header 'WWW-Authenticate' to response `response`,Set the WWW - Authenticate header to Basic realm,0.2105263157894737,0.3,1
"re.split('(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)', text)","split string `text` by the occurrences of regex pattern '(?<=\\?|!|\\.)\\s{0,2}(?=[A-Z]|$)'",Split a string '(?<=\\?|!\\)|\\)|\\)|\\)|\\,Split on? or!,0.35294117647058826,0.11764705882352941,1
"max(list(MyCount.keys()), key=int)",get max key in dictionary `MyCount`,get the maximum of 'MyCount' and'max' values in dictionary `MyCount`,Get the maximum count of items in the count map,0.5882352941176471,0.25,1
"count.setdefault('a', 0)",Set value for key `a` in dict `count` to `0` if key `a` does not exist or if value is `none`,set default value for `a` to 0 in dictionary `count`,Count the number of times a is seen.,0.5161290322580645,0.20689655172413796,1
"re.compile('^(.+)\\n((?:\\n.+)+)', re.MULTILINE)","regular expression ""^(.+)\\n((?:\\n.+)+)"" matching a multiline block of text",regular expression match nothing,Returns a compiled regex for the given line,0.28571428571428575,0.11111111111111112,1
sum(1 if d['success'] else 0 for d in s),count the number of True values associated with key 'success' in dictionary `d`,count the number of rows in a list of dictionaries `d` whose value for key'success,Sum of success values,0.5517241379310345,0.3529411764705882,1
"cursor.execute('INSERT INTO table VALUES (?, ?, ?)', (var1, var2, var3))","insert variables `(var1, var2, var3)` into sql statement 'INSERT INTO table VALUES (?, ?, ?)'",Insert a 'None' value into a SQLite3 table.,Insert a row into the table.,0.3,0.3333333333333333,1
"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]",Removing key values pairs from a list of dictionaries,Find all the items from a dictionary `d` if the key contains the string `Date`,Returns a list of dictionaries.,0.25,0.5714285714285714,1
"max(k for k, v in x.items() if v != 0)",find the key associated with the largest value in dictionary `x` whilst key is non-zero value,Find a max value of the key `count` in a dictionary `x`,Returns the maximum key in the map.,0.4827586206896552,0.3333333333333333,1
my_dict.update({'third_key': 1}),add an item with key 'third_key' and value 1 to an dictionary `my_dict`,Add key 'three_key' to dictionary `my_dict` with value 1,Update the dictionary with the third key.,0.7692307692307692,0.36363636363636365,1
"keys, values = zip(*list(d.items()))",unpack keys and values of a dictionary `d` into two lists,get a list of keys from dictionary `d` with values from list `,Returns a map of keys and values.,0.5217391304347826,0.5555555555555556,1
"pd.merge(frame_1, frame_2, left_on='county_ID', right_on='countyid')",Join pandas data frame `frame_1` and `frame_2` with left join by `county_ID` and right join by `countyid`,combine  dataframe `frame_1` and dataframe `frame_2` by column,merge two frames,0.4,0.0,1
"datetime.datetime.strptime('2011, 4, 0', '%Y, %U, %w')","derive the week start for the given week number and year ‘2011, 4, 0’","convert date string '2011, 4, 0)' to date object in format '%Y-%",2016 - 12 - 01,0.23076923076923075,0.0,1
var = input('Please enter something: '),"print ""Please enter something: "" to console, and read user input to `var`",read keyboard-input,Input a string,0.26666666666666666,0.13333333333333333,1
return iter(sorted(dict.items())),iterate over a dictionary `dict` in sorted order,Iterate over dictionary `dict` in ascending order of values,Returns an iterator over the keys in the dictionary sorted by key.,0.7058823529411765,0.4,1
"if (string1.lower() == string2.lower()):
    print('The strings are the same (case insensitive)')
else:
    print('The strings are not the same (case insensitive)')",case insensitive comparison of strings `string1` and `string2`,check if string `string1` is upper-cased,Returns true if the two strings are equal.,0.13333333333333333,0.125,1
string[0].isdigit(),check if string `string` starts with a number,check if string `0` is a number,Returns true if the first character of the string is a digit.,0.6666666666666666,0.3,1
soup.findAll(attrs={'name': 'description'}),BeautifulSoup find all tags with attribute 'name' equal to 'description',BeautifulSoup find all tags 'name' and 'description' from Beautiful Soup object `,Find all the tags,0.5714285714285713,0.4285714285714285,1
"re.findall('([a-z])*', 'f233op')",match zero-or-more instances of lower case alphabet characters in a string `f233op `,match regex pattern '[a-z]*)' on string 'aabcc' with,Find all the characters that are valid,0.2608695652173913,0.09523809523809523,1
"df.sort_values(['a', 'b'], ascending=[True, False])",sort dataframe `df` based on column 'a' in ascending and column 'b' in descending,sort a pandas data frame according to column `a` and `b`,Sort the data by a ascending order.,0.4,0.2857142857142857,1
"i = int(s, 16)",convert hex string `s` to decimal,Convert hex string `s` to integer,i = s ;,0.8333333333333334,0.25,1
session.execute('INSERT INTO t1 (SELECT * FROM t2)'),How do I INSERT INTO t1 (SELECT * FROM t2) in SQLAlchemy?,Insert a 'None' value into a SQLite3 table.,Insert a new row into t1.,0.2105263157894737,0.3529411764705882,1
int(),function to convert strings into integers,get the ASCII value of a character as an int,Returns the number of seconds since January 1st 1970.,0.0,0.0,1
""""""""""""".join('{}{}'.format(key, val) for key, val in sorted(adict.items()))",convert dictionary `adict` into string,get a string of characters in `key` with remainder,Returns a string with the given key.,0.14285714285714285,0.16666666666666666,1
{(x ** 2) for x in range(100)},create dict of squared int values in range of 100,convert generator object to a dictionary,Generate a random number of 100,0.0,0.25,1
"df1.sort(['a', 'b'], ascending=[True, False], inplace=True)",sort a pandas data frame with column `a` in ascending and `b` in descending order,sort a pandas data frame `df1` by column `a` and `b`,sorts the DataFrame by a and b,0.6923076923076923,0.27272727272727276,1
print('{:.100f}'.format(2.345e-67)),print a floating point number 2.345e-67 without any truncation,print float 2.345 to be an integer,Print a nice percentage of the time spent in the current time.,0.2105263157894737,0.17391304347826086,1
"datetime.strptime('2011221', '%Y%W%w')",convert string '2011221' into a DateTime object using format '%Y%W%w',convert a date string '2011221' to a datetime object,Returns a datetime object with the last day and time stamp.,0.5714285714285715,0.2608695652173913,1
(bool(a) != bool(b)),get logical xor of `a` and `b`,check if `a` is not equal to `b`,Checks if two booleans are not equal.,0.26666666666666666,0.0,1
df.groupby('A').filter(lambda x: len(x) > 1),filter dataframe `df` by values in column `A` that appear more than once,filter dataframe `df` by length of rows in column 'A',Return a DataFrame of the data set with the length of each element in the DataFrame.,0.608695652173913,0.20689655172413793,1
"df.reset_index(level=['tick', 'obs'])",convert pandas index in a dataframe to columns,reset index to 'tick' in dataframe `df`,Reset the index of the dataframe to the default values.,0.5333333333333333,0.33333333333333326,1
[str(wi) for wi in wordids],Convert integer elements in list `wordids` to strings,get a list of all words in string `wordsids` as a list,Returns a list of strings representing the word ids.,0.2,0.23529411764705882,1
"re.split('[ ](?=[A-Z]+\\b)', input)",split string `input` based on occurrences of regex pattern '[ ](?=[A-Z]+\\b)',split string'sad_pandas_and_happy_cats_for_,Split a string into a list of strings.,0.2,0.4,1
"re.findall('\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+', strs)","find all occurrences of the pattern '\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+' within `strs`",find all occurrences of a substring in a string,Find all the strings in the input string.,0.4444444444444444,0.35294117647058826,1
input_string.count('Hello'),find the count of a word 'Hello' in a string `input_string`,input a string of numbers 'Hello' in a string `input_string`,Count the number of hello,0.6956521739130435,0.47058823529411764,1
"print([key for key, value in list(d.items()) if value == 1])",Get keys from a dictionary 'd' where the value is '1'.,get a list of keys in dictionary `d` that contain any values from list `,prints the keys and values of the dictionary,0.4799999999999999,0.3157894736842105,1
"int('01010101111', 2)",convert binary string '01010101111' to integer,convert string '01010101110' to integer,Example 1.,0.7272727272727272,0.0,1
data.groupby(data['date'].map(lambda x: x.year)),group dataframe `data` entries by year value of the date in column 'date',extract unique dates from time series 'date' in dataframe `data`,Group by date,0.34782608695652173,0.375,1
"data['sex'].replace([0, 1], ['Female', 'Male'], inplace=True)",replace value 0 with 'Female' and value 1 with 'Male' in column 'sex' of dataframe `data`,replace all occurrences of a key `Fem` in a dictionary `data` with 1,Get sex from sex data,0.41379310344827586,0.19047619047619047,1
threading.Thread(target=SudsMove).start(),run function 'SudsMove' simultaneously,start a thread for `sudsMove` in C++,Start a thread that moves Suds files to the new location.,0.18181818181818182,0.0,1
"{k: int(v) for k, v in d.items()}",convert values in dictionary `d` into integers,"Create a dictionary `d` from string `e` separated by `-` and `,",d is a list of integers,0.23529411764705882,0.30769230769230765,1
"{key: val for key, val in list(myDict.items()) if val != 42}",Remove all items from a dictionary `myDict` whose values are `42`,create a dictionary of values from a dictionary `myDict` whose key contains the string `Date,Returns a copy of the myDict with all the keys and values set.,0.4615384615384615,0.33333333333333337,1
"""""""<br/>"""""".join([('%s:: %s' % (key, value)) for key, value in list(d.items())])","dictionary `d` to string, custom format","convert a list of strings `[('s:: %s, '",Returns a string with the current line and column names.,0.0,0.125,1
df.groupby('User')['X'].transform(sum) == 0,Get data from dataframe `df` where column 'X' is equal to 0,How to replace a characters in a column of a pandas group by object?,Sums the users by X,0.15384615384615383,0.11764705882352941,1
"strg.startswith(('0', '1', '2', '3', '4', '5', '6', '7', '8', '9'))","Check if string `strg` starts with any of the elements in list ('0', '1', '2', '3', '4', '5', '6', '7', '8', '9')",check if string `strg` contains all the beginning and ending with square brackets,Returns true if the string starts with 0 1 or 0.,0.3428571428571428,0.4242424242424242,1
alpha = img.split()[-1],get alpha value `alpha` of a png image `img`,split a string `img` into one column,get the alpha value of the image,0.25,0.6250000000000001,1
globals()['something'] = 'bob',define global variable `something` with value `bob`,calling a function named 'bob' in the module,Set something to bob,0.13333333333333333,0.36363636363636365,1
ax.xaxis.set_ticks_position('top'),How to plot with x-axis at the top of the figure?,move x-axis of the pyplot object `ax` to the top of a plot in,Set the x - axis ticks position to top.,0.5925925925925926,0.5,1
changed_list = [(int(f) if f.isdigit() else f) for f in original_list],create list `changed_list ` containing elements of list `original_list` whilst converting strings containing digits to integers,convert a list of strings `f` to a list of integer values,Set the list of changed files.,0.3448275862068966,0.2608695652173913,1
"if hasattr(a, 'property'):
    pass",check if object `a` has property 'property',check if object `a` has property 'property',if a is a property or not,1.0,0.42857142857142855,1
return sorted(dict.items()),iterate over a dictionary `dict` in sorted order,Sort dictionary `dict` in ascending order based on its keys and items,Returns a sorted list of all keys in the dictionary.,0.4,0.4444444444444445,1
"re.findall('[^a]', 'abcd')",Get all the matches from a string `abcd` if it begins with a character `a`,get a string from a regex match with pattern '[^a]' in string 'abcd,Find all abcd and abcd - like strings.,0.5714285714285715,0.18181818181818182,1
"re.findall('(([0-9]+)([A-Z]))', '20M10000N80M')","separate numbers from characters in string ""30m1000n20m""",Find all numbers and dots from a string `A` using regex,Find all the numbers in the string,0.33333333333333326,0.42857142857142855,1
('a' in a),check if 'a' is in list `a`,check if string `a` exists,Checks if a is defined,0.5,0.5,1
df = df[(df['closing_price'] >= 99) & (df['closing_price'] <= 101)],select rows in a dataframe `df` column 'closing_price' between two values 99 and 101,remove rows from dataframe `df` where the value of column 'closing_price' is equal,get all closing prices,0.4137931034482759,0.10526315789473685,1
"if (string1.lower() == string2.lower()):
    pass",case insensitive string comparison between `string1` and `string2`,check if string `string1` is upper-cased,Returns true if the two strings are equal.,0.26666666666666666,0.0,1
"df['name'].str.replace('\\(.*\\)', '')",replace parentheses and all data within it with empty string '' in column 'name' of dataframe `df`,replace values in column 'name' of dataframe `df` with `\\(.*\\),df. name. str. replace ( \ \,0.64,0.3,1
today.strftime('%B'),get month name from a datetime object `today`,Get day name from a datetime object,Return today s string representation,0.7999999999999999,0.15384615384615385,1
df2 = df.reset_index(),Reset the indexes of a pandas data frame,reset index to default in dataframe `df2`,Reset the index of the dataframe,0.13333333333333333,0.42857142857142855,1
"[d.strftime('%Y%m%d') for d in pandas.date_range('20130226', '20130302')]",How to create a list of date string in 'yyyymmdd' format with Python Pandas?,get current time in pretty format,Date in the format yyyyMMdd,0.2,0.4210526315789473,1
"for (i, j) in product(list(range(256)), list(range(256))):
    pass","loop through the IP address range ""192.168.x.x""",Iterating key and items over dictionary `d`,Returns all the numbers in the range [ i j ).,0.0,0.2105263157894737,1
"country, capital = random.choice(list(d.items()))",get a random key `country` and value `capital` form a dictionary `d`,generate a list of values from dictionary `d` with the key 'random',country capital,0.4166666666666667,0.2857142857142857,1
driver.find_element_by_link_text('Send InMail').click(),click a href button with text 'Send InMail' with selenium,find element by text 'Send' as a hyperlink with Selenium Python,Find send message element by link text,0.47619047619047616,0.23529411764705882,1
"pd.pivot_table(df, index=df.index.date, columns=df.index.time, values='Close')",transform time series `df` into a pivot table aggregated by column 'Close' using column `df.index.date` as index and values of column `df.index.time` as columns,find the first row in a pandas dataframe `df` whose index value is `df.index,Pivot table for pandas.,0.23255813953488372,0.125,1
foo.decode('utf8').encode('utf8'),check if string `foo` is UTF-8 encoded,Replace special characters in utf-8 encoded string `foo` using the %xx escape,foo. decode,0.4761904761904762,0.2,1
"struct.unpack('h', pS[0:2])",unpack first and second bytes of byte string `pS` into integer,convert bytes string `pS` to an unsigned integer,unpacks the first two bytes of the pS into a struct,0.4210526315789474,0.45454545454545453,1
"re.match('(.*?[.?!](?:\\s+.*?[.?!]){0,1})', phrase).group(1)","Extract first two substrings in string `phrase` that end in `.`, `?` or `!`",match regex pattern '\\s(zyx)bc' on string 'zyx',Match a string with a whitespace,0.09999999999999999,0.11764705882352942,1
"l.sort(key=lambda x: (x['title'], x['title_url'], x['id']))","sort a list of dictionaries by the value of keys 'title', 'title_url', 'id' in ascending order.",sort a list of dictionaries `l` by values associated with key 'title' in reverse order,sorts the list by title,0.5625,0.3636363636363636,1
"pd.concat([distancesDF, datesDF.dates], axis=1)",merge a pandas data frame `distancesDF` and column `dates` in pandas data frame `datesDF` into single,concatenate date strings 'distancesDF' with dates in dataframe `datesdf` with,concatenate distances and dates df,0.3076923076923077,0.19047619047619047,1
"calendar.monthrange(year, month)[1]",Get Last Day of the month `month` in year `year`,month range from `year` to `month`,Returns the month range of the year.,0.37499999999999994,0.47058823529411764,1
"os.kill(os.getpid(), signal.SIGUSR1)",send a signal `signal.SIGUSR1` to the current process,kill a process with id `getpid`,Kills the process.,0.26666666666666666,0.3333333333333333,1
"re.findall('n(?<=[^n]n)n+(?=[^n])(?i)', s)","regex, find ""n""s only in the middle of string `s`",match regex pattern 'n(?<=[^n])' on string 'n',Find all n tags in a string.,0.3157894736842105,0.4444444444444444,1
"mylist.sort(key=operator.itemgetter('weight', 'factor'))","Sort a list of dictionaries `mylist` by keys ""weight"" and ""factor""",sort a list of dictionaries `mylist` in alphabetical order based on the values associated with,sort mylist by weight,0.4615384615384615,0.5333333333333333,1
""""""""""""".join(set('aaabcabccd'))",List of all unique characters in a string?,set the value of the set of characters `aaabcabccd` equal to 'aa,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0.2,0.0,1
sys.exit('some error message'),"Terminating a Python script with error message ""some error message""",Exit script,Exit with some error message,0.16666666666666669,0.5333333333333333,1
"sorted(d, key=lambda k: d[k][1])",sort keys of dictionary 'd' based on their values,sort a dictionary `d` by value in ascending order,Sort the values in a dictionary.,0.3333333333333333,0.4,1
((a and (not b)) or ((not a) and b)),get logical xor of `a` and `b`,check if either of strings `a` or `b` are present,Returns true if both a and b are true.,0.3529411764705882,0.375,1
"df.apply(lambda x: x.fillna(x.mean()), axis=0)",replace nan values in a pandas data frame with the average of columns,replace all the nan values with'in a pandas dataframe `df`,Fill missing values in the DataFrame.,0.6666666666666667,0.3157894736842105,1
df['a'] = df['a'].apply(lambda x: x + 1),Pandas: How can I use the apply() function for a single column?,"pandas: change all the values of a column 'a' to ""int(str(",A function to update the value of a in the dataframe.,0.3333333333333333,0.2608695652173913,1
"df[['A', 'B']].multiply(df['C'], axis='index')",multiply column 'A' and column 'B' by column 'C' in datafram `df`,multiply values of dataframe `df` with values from other columns 'A' and 'B,A - > B,0.4,0.2857142857142857,1
df[(df['A'] > 1) | (df['B'] < -1)],select all rows from pandas DataFrame 'df' where the value in column 'A' is greater than 1 or less than -1 in column 'B'.,select all rows from dataframe `df` where the value of column 'A' is,A > 1 means A > 1,0.6486486486486487,0.20689655172413793,1
"df.loc[:, ((df != 0).any(axis=0))]",delete all columns in  DataFrame `df` that do not hold a non-zero value in its records,get a subset of columns in dataframe `df` whose values for column `df` is,Returns a DataFrame with the columns that are not zero.,0.3225806451612903,0.4444444444444445,1
"dic.setdefault(key, []).append(value)",Create a key `key` if it does not exist in dict `dic` and append element `value` to value.,append `value` to list value of `key` in dictionary `dic`,Add a value to the dictionary.,0.5,0.25,1
warnings.simplefilter('always'),enable warnings using action 'always',filter the warnings in python script `warnings` with a filter that will match nothing,Always warns the user.,0.10526315789473682,0.22222222222222224,1
"pd.merge(df1, df2, on=['A', 'B', 'C', 'D'], how='inner')","find all the rows in Dataframe 'df2' that are also present in Dataframe 'df1', for the columns 'A', 'B', 'C' and 'D'.",Merge column  'key' of dataframe `df1` with column 'value' in dataframe,Merge two DataFrames.,0.24242424242424246,0.0,1
"networkx.draw_networkx_labels(G, pos, labels)",Draw node labels `labels` on networkx graph `G ` at position `pos`,draw a legend of the pyplot object `networkx` with matplotlib,Draw labels on the networkx graph.,0.1904761904761905,0.5882352941176471,1
"df.plot(kind='barh', stacked=True)",plotting stacked barplots on a panda data frame,make a barplot of data in dataframe `df` with kind `barh`,Plot the data as a barh plot,0.2105263157894737,0.26666666666666666,1
"print(' '.join(sorted(set(words), key=words.index)))",Keep only unique words in list of words `words` and join into string,sort list `words` by length of its values and print as string,Print the words in alphabetical order.,0.4,0.21052631578947367,1
"d = {k: v for k, v in list(d.items()) if v > 0}",Filter dictionary `d` to have items with value greater than 0,Create a dictionary `d` from list of key value pairs `iterable`,Returns a new map with all keys and values.,0.2727272727272727,0.09999999999999999,1
"soup.find_all('div', class_=re.compile('comment-'))",Find all `div` tags whose classes has the value `comment-` in a beautiful soup object `soup`,using beautifulsoup to select div blocks within html `soup`,Find all divs.,0.16,0.21052631578947367,1
"response = requests.put(url, data=json.dumps(data), headers=headers)",Execute a put request to the url `url`,post request url `url` with json `json`,Send a PUT request to the API,0.39999999999999997,0.6666666666666666,1
"matplotlib.rc('font', **{'sans-serif': 'Arial', 'family': 'sans-serif'})",set font `Arial` to display non-ascii characters in matplotlib,change the font size on plot `matplotlib` to 22,Set font options,0.3157894736842105,0.30769230769230765,1
"fig.subplots_adjust(wspace=0, hspace=0)",remove the space between subplots in matplotlib.pyplot,remove all the legend in plot `fig`,Adjust the width and height of the figure.,0.39999999999999997,0.125,1
"sorted_list_of_keyvalues = sorted(list(ips_data.items()), key=item[1]['data_two'])",sort json `ips_data` by a key 'data_two',How do I sort a list of dictionary values by values of the dictionary in Python?,Returns a sorted list of key - value pairs.,0.24000000000000005,0.23529411764705882,1
list(data['A']['B'].values())[0]['maindata'][0]['Info'],find a value within nested json 'data' where the key inside another key 'B' is unknown.,get a value from dictionary `data` with key 'B' as a list and,Get the first element of the list,0.3448275862068966,0.08695652173913043,1
"df.sort(['a', 'b'], ascending=[True, False])","sort a pandas data frame by column `a` in ascending, and by column `b` in descending order",sort a pandas data frame by column `a` and `b` in descending order,Sort DataFrame by a ascending order.,0.8666666666666666,0.4347826086956522,1
"df = df[['x', 'y', 'a', 'b']]","Rearrange the columns 'a','b','x','y' of pandas DataFrame `df` in mentioned sequence 'x' ,'y','a' ,'b'",remove all the values from a dataframe `df` if the column 'x' is equal to,df = data frame,0.303030303030303,0.09523809523809525,1
(7 in a),check if 7 is in `a`,check if string `7` is in `a`,7 is a bit field,0.923076923076923,0.5454545454545454,1
"isinstance(s, str)",check if type of a variable `s` is string,check if string `s` is a string,Checks if s is an instance of str.,0.75,0.47058823529411764,1
"re.compile('^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)', re.MULTILINE)",create a regular expression that matches the pattern '^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)' over multiple lines of text,regular expression match nothing,Returns a compiled regex object that matches the given string.,0.17391304347826086,0.27586206896551724,1
soup.body.findAll(text='Python'),searche in HTML string for elements that have text 'Python',"In `soup`, get all the content of the sibling of the `td`  tag",Find all Python code in the page.,0.08695652173913043,0.23529411764705882,1
df['index1'] = df.index,Add indexes in a data frame `df` to a column `index1`,get the row names from index in a pandas data frame,Set index1 to index of df.,0.36363636363636365,0.3529411764705882,1
"url.rsplit('/', 1)",get every thing after last `/`,split url `url` with one or more spaces with the same url in a,Split url into path and query,0.0,0.0,1
print(soup.find('name').string),"access a tag called ""name"" in beautifulsoup `soup`",get the string `name` of the sibling of the `soup`  tag,Prints the name of the page,0.3157894736842105,0.14285714285714288,1
"re.findall('(?=(\\w\\w))', 'hello')",find overlapping matches from a string `hello` using regex,match regex pattern '(?=\\w+(?:\\w+),Find all words in a string,0.14285714285714285,0.4,1
"""""""0,1,2"""""".split(',')","split string ""0,1,2"" based on delimiter ','","split string '0,1,2' on one or more spaces with a",Returns a comma - separated list of integers.,0.6,0.0,1
"[(v, k) for k, v in list(d.items())]",convert a python dictionary `d` to a list of tuples,get a list of values from a dictionary `l` whose key contains the string `Date`,Returns a list of tuples.,0.4,0.5333333333333333,1
driver.findElement(By.linkText('Send InMail')).click(),click a href button having text `Send InMail` with selenium,find element by text 'Send InMail' in selenium webdriver `driver`,Find the element that contains the link text.,0.4000000000000001,0.11111111111111112,1
bin(21),convert 21 to binary string,get the binary value of a character as an int,Binary String Binary,0.13333333333333333,0.5,1
"df.pivot(index='order', columns='sample')",convert dataframe `df` into a pivot table using column 'order' as index and values of column 'sample' as columns,get index of sub string'sample' in dataframe `df`,Pivot DataFrame with sample columns,0.35714285714285715,0.3333333333333333,1
"df.groupby(np.arange(len(df.columns)) // 2 + 1, axis=1).sum().add_prefix('s')",sum the values in each row of every two adjacent columns in dataframe `df`,create a pandas dataframe of values from the column `count` in pandas,Group by columns,0.3846153846153846,0.11764705882352941,1
int('1'),"convert string ""1"" into integer",convert string '1' to integer,1 = > 1,0.8000000000000002,0.28571428571428575,1
"df.drop('a', level=1, axis=1)","dropping all columns named 'a' from a multiindex 'df', across all level.",Drop rows of pandas dataframe `df` having level 1,Drop a column from the DataFrame.,0.1904761904761905,0.2222222222222222,1
"Task.objects.exclude(prerequisites__status__in=['A', 'P', 'F'])","In Django, filter `Task.objects` based on all entities in ['A', 'P', 'F']",Exclude field `status` from a django model `Task`,Returns a list of tasks that are not in the prerequisites list.,0.2857142857142857,0.16,1
json.load(urllib.request.urlopen('url')),get json data from restful service 'url',decode json string 'urllib.com/' into a dictionary,Load json from url,0.13333333333333333,0.5454545454545454,1
it = iter(sorted(d.items())),iterate over a dictionary `d` in sorted order,Iterate over dictionary `d` in ascending order of values,Returns an iterator over the keys in the dictionary.,0.7058823529411765,0.35294117647058826,1
"print([key for key, value in d.items() if value == 1])",get keys with same value in dictionary `d`,Find all keys from a dictionary `d` whose values are `desired_value`,Print the keys and values of the dictionary.,0.4,0.25,1
"sorted(list(a_dict.items()), key=lambda item: item[1][1])",sort a python dictionary `a_dict` by element `1` of the value,sort a dictionary `a_dict` in ascending order based on its values,Returns a sorted list of the keys in the dictionary.,0.4166666666666667,0.3636363636363636,1
json_data = json.loads(json_string),load a json data `json_string` into variable `json_data`,decode JSON string `json_string` to a dictionary `json_data`,json_string - json string to be parsed,0.6,0.3529411764705882,1
"df.groupby(level=0).agg(['sum', 'count', 'std'])","Use multiple groupby and agg operations `sum`, `count`, `std` for pandas data frame `df`",count the number of rows in each series grouped by level 0 of dataframe `df`,Group by sum of sum of values,0.1379310344827586,0.09523809523809523,1
p.terminate(),terminate process `p`,Exit script,Terminate the process.,0.0,0.6666666666666666,1
"[{'key1': a, 'key2': b} for a, b in zip(d['key1'], d['key2'])]",create a list where each element is a dictionary with keys 'key1' and 'key2' and values corresponding to each value in the lists referenced by keys 'key1' and 'key2' in dictionary `d`,Creating a list of dictionaries in python,A list of keys.,0.15384615384615383,0.16666666666666666,1
df.set_index('month'),set dataframe `df` index using column 'month',set index equal to'month' in dataframe `df`,Modify the DataFrame to include the month s values.,0.6666666666666666,0.25,1
"df.pivot_table(index='saleid', columns='upc', aggfunc='size', fill_value=0)",pivot dataframe `df` so that values for `upc` become column headings and values for `saleid` become the index,find the first row of a pandas dataframe `df` with id `saleid`,Pivot table for saleid,0.26666666666666666,0.27272727272727276,1
